SNo;City;State;Latitude;Longitude
1;Aracaju;Sergipe;-10,55;-37,03
2;Araraquara;Sao Paulo;-21,48;-48,11
3;Assis;Sao Paulo;-22,4;-50,25
4;Bauru;Sao Paulo;-22,19;-49,04
5;Bel‚m;Para;-1,27;-48,3
6;Belo Horizonte;Minas Gerais;-19,55;-43,56
7;Boa Vista;Roraima;-2,49;-60,4
8;Brasilia;Distrito Federal;-15,48;-47,52
9;Campina Grande;Para¡ba;-7,14;-35,53
10;Campinas;Sao Paulo;-22,54;-47,03
11;Campo Grande;Mato Grosso do Sul;-20,28;-54,37
12;Caruaru;Pernambuco;-8,17;-35,59
13;Chui;Rio Grande do Sul;-33,41;-53,27
14;Cuiaba;Mato Grosso;-15,36;-56,06
15;Curitiba;Parana;-25,25;-49,15
16;Fernando de Noronha;Pernambuco;-3,51;-32,25
17;Florianopolis;Santa Catarina;-27,5;-48,25
18;Fortaleza;Cear ;-3,43;-38,33
19;Garanhuns;Pernambuco;-8,53;-36,3
20;Goiania;Goias;-16,4;-49,15
21;Governador Valadares;Minas Gerais;-18,51;-41,56
22;Ilheus;Bahia;-14,47;-39,03
23;Imperatriz;Maranhao;-5,32;-47,29
24;Joao Pessoa;Paraiba;-7,05;-34,5
25;Juazeiro do Norte;Ceara;-7,12;-39,2
26;Juiz de Fora;Minas Gerais;-21,46;-43,21
27;Macapa;Amapa;-0,02;-51,04
28;Maceio;Alagoas;-9,4;-35,44
29;Manaus;Amazonas;-3,06;-60,01
30;Natal;Rio Grande do Norte;-5,47;-35,12
31;Palmas;Tocantins;-10,11;-48,2
32;Pelotas;Rio Grande do Sul;-31,46;-52,21
33;Petrolina;Pernambuco;-9,24;-40,3
34;Po‡os de Caldas;Minas Gerais;-21,47;-46,34
35;Porto Alegre;Rio Grande do Sul;-30,02;-51,14
36;Porto Velho;Rondonia;-8,46;-63,54
37;Recife;Pernambuco;-8,03;-34,54
38;Ribeirao Preto;Sao Paulo;-21,11;-47,48
39;Rio Branco;Acre;-9,58;-67,49
40;Rio de Janeiro;Rio de Janeiro;-22,55;-43,12
41;Salvador;Bahia;-12,58;-38,29
42;Sao Jose do Rio Preto;Sao Paulo;-20,48;-49,23
43;Sao Jose dos Campos;Sao Paulo;-23,11;-45,53
44;Sao Luis;Maranhao;-2,32;-44,18
45;Sao Paulo;Sao Paulo;-23,33;-46,38
46;Sinop;Mato Grosso;-11,51;-55,39
47;Sobral;Cear ;-3,4;-40,14
48;Teresina;Piaui;-5,06;-42,48
49;Uberlandia;Minas Gerais;-18,55;-48,17
50;Vitoria;Espirito Santo;-20,19;-40,2
